Transect,Oribatids ,Mesostigmatids,Prostigmatid,Collembola,Other arachnids,,,,,
0,0,1,3,2,0,1.0114043,3,0.9206198,6,
1,1,1,5,3,1,2,1.4241299,5,0.8848617,12
1,2,1,4,6,0,0,0.9164649,3,0.8342023,11
1,3,3,1,2,4,1,1.4681399,5,0.9122066,11
1,4,4,4,2,1,1,1.4451859,5,0.8979445,12
2,0,1,0,0,0,0,0,1,NaN,1
2,1,0,2,0,1,0,0.6365142,2,0.9182958,3
2,2,1,1,1,2,2,1.549826,5,0.9629611,7
2,3,1,3,1,1,0,1.2424533,4,0.8962406,6
2,4,2,2,2,1,2,1.5810938,5,0.9823888,9
3,0,0,3,4,0,0,0.6829081,2,0.9852281,7
3,1,0,1,2,1,2,1.3296613,4,0.9591479,6
3,2,0,2,3,3,1,1.3107837,4,0.9455306,9
3,3,6,4,5,1,2,1.4609707,5,0.9077522,18
3,4,7,7,0,1,2,1.1491524,4,0.8289382,17
4,0,0,0,1,3,4,0.9743148,3,0.8868595,8
4,1,1,3,4,1,1,1.4184837,5,0.8813535,10
4,2,1,2,2,0,5,1.2206073,4,0.880482,10
4,3,3,0,1,3,4,1.2945452,4,0.9338169,11
4,4,4,4,5,4,3,1.5968043,5,0.9921503,20
